!SIL 1.0	SIL
<UNK> 1.0	SPN
ciɖiɖi 1.0	c i ɖ i ɖ i 
ciɖɔ 1.0	c i ɖ ɔ 
coxoxowooo 1.0	c o x o x o w o o o 
cuni 1.0	c u n i 
cuxa 1.0	c u x a 
cuɖuɖu 1.0	c u ɖ u ɖ u 
cɔ 1.0	c ɔ 
cɔbɔ 1.0	c ɔ b ɔ 
cɔcɔ 1.0	c ɔ c ɔ 
cɔncɔn 1.0	c ɔ n c ɔ n 
cɔɔ 1.0	c ɔ ɔ 
cɔɔn 1.0	c ɔ ɔ n 
cɔhwε 1.0	c ɔ h w ε 
cε 1.0	c ε 
cεcε 1.0	c ε c ε 
cεju 1.0	c ε j u 
cεnitin 1.0	c ε n i t i n 
cεxwlε 1.0	c ε x w l ε 
cεcibasaa 1.0	c ε c i b a s a a 
cεfεε 1.0	c ε f ε ε 
cεgbakan 1.0	c ε g b a k a n 
cεkεmu 1.0	c ε k ε m u 
cεlaxi 1.0	c ε l a x i 
cεlεci 1.0	c ε l ε c i 
cεlεfu 1.0	c ε l ε f u 
cεlεmiya 1.0	c ε l ε m i y a 
cεlεmiyahu 1.0	c ε l ε m i y a h u 
cεma 1.0	c ε m a 
cεmεdi 1.0	c ε m ε d i 
cεmεvεε 1.0	c ε m ε v ε ε 
cεmεε 1.0	c ε m ε ε 
cεnasaa 1.0	c ε n a s a a 
cεva 1.0	c ε v a 
cεvεε 1.0	c ε v ε ε 
cεɖεcεɖε 1.0	c ε ɖ ε c ε ɖ ε 
cεɖεɖε 1.0	c ε ɖ ε ɖ ε 
d 1.0	d 
da 1.0	d a 
daa 1.0	d a a 
daada 1.0	d a a d a 
daaga 1.0	d a a g a 
daakɔni 1.0	d a a k ɔ n i 
dablu 1.0	d a b l u 
dabεsεti 1.0	d a b ε s ε t i 
dada 1.0	d a d a 
dafɔ 1.0	d a f ɔ 
daga 1.0	d a g a 
dagba 1.0	d a g b a 
dagbe 1.0	d a g b e 
dagbo 1.0	d a g b o 
dagbεmin 1.0	d a g b ε m i n 
dagɔni 1.0	d a g ɔ n i 
dagɔninɔ 1.0	d a g ɔ n i n ɔ 
daho 1.0	d a h o 
dahwan 1.0	d a h w a n 
dajo 1.0	d a j o 
dakpa 1.0	d a k p a 
dakpagbe 1.0	d a k p a g b e 
dakɔn 1.0	d a k ɔ n 
dala 1.0	d a l a 
dalila 1.0	d a l i l a 
daliwusi 1.0	d a l i w u s i 
dalufɔni 1.0	d a l u f ɔ n i 
dalumati 1.0	d a l u m a t i 
dalɔ 1.0	d a l ɔ 
damalisi 1.0	d a m a l i s i 
damlon 1.0	d a m l o n 
damlɔ 1.0	d a m l ɔ 
damasi 1.0	d a m a s i 
damasinu 1.0	d a m a s i n u 
dan 1.0	d a n 
dana 1.0	d a n a 
dandan 1.0	d a n d a n 
dandanme 1.0	d a n d a n m e 
daniyεli 1.0	d a n i y ε l i 
danlyεnlyεn 1.0	d a n l y ε n l y ε n 
danwundanwun 1.0	d a n w u n d a n w u n 
danyaani 1.0	d a n y a a n i 
dasa 1.0	d a s a 
dasi 1.0	d a s i 
datani 1.0	d a t a n i 
davidi 1.0	d a v i d i 
davεlati 1.0	d a v ε l a t i 
dawe 1.0	d a w e 
daxwi 1.0	d a x w i 
daxo 1.0	d a x o 
dayi 1.0	d a y i 
dayime 1.0	d a y i m e 
daziin 1.0	d a z i i n 
dazɔmε 1.0	d a z ɔ m ε 
daagbo 1.0	d a a g b o 
daanyɔnu 1.0	d a a n y ɔ n u 
daka 1.0	d a k a 
dakaxixo 1.0	d a k a x i x o 
dakaxotɔ 1.0	d a k a x o t ɔ 
dakɔdakɔ 1.0	d a k ɔ d a k ɔ 
damε 1.0	d a m ε 
danuwatɔ 1.0	d a n u w a t ɔ 
danuwiwa 1.0	d a n u w i w a 
danu 1.0	d a n u 
dati 1.0	d a t i 
de 1.0	d e 
debola 1.0	d e b o l a 
debu 1.0	d e b u 
dedani 1.0	d e d a n i 
dedaninu 1.0	d e d a n i n u 
degenɔ 1.0	d e g e n ɔ 
deha 1.0	d e h a 
deji 1.0	d e j i 
dekin 1.0	d e k i n 
delaya 1.0	d e l a y a 
delayahu 1.0	d e l a y a h u 
demasi 1.0	d e m a s i 
demεtliwusi 1.0	d e m ε t l i w u s i 
denisi 1.0	d e n i s i 
desu 1.0	d e s u 
devii 1.0	d e v i i 
deviinu 1.0	d e v i i n u 
dewuεli 1.0	d e w u ε l i 
dgbe 1.0	d g b e 
di 1.0	d i 
diamaaswe 1.0	d i a m a a s w e 
diamaa 1.0	d i a m a a 
dibla 1.0	d i b l a 
dicani 1.0	d i c a n i 
dicɔni 1.0	d i c ɔ n i 
dida 1.0	d i d a 
dido 1.0	d i d o 
didε 1.0	d i d ε 
difati 1.0	d i f a t i 
dikla 1.0	d i k l a 
dileani 1.0	d i l e a n i 
dimɔna 1.0	d i m ɔ n a 
din 1.0	d i n 
dina 1.0	d i n a 
dinava 1.0	d i n a v a 
dinavanu 1.0	d i n a v a n u 
dindɔn 1.0	d i n d ɔ n 
dini 1.0	d i n i 
dinvi 1.0	d i n v i 
diotlefεsi 1.0	d i o t l e f ε s i 
dip 1.0	d i p 
disa 1.0	d i s a 
divlatayimu 1.0	d i v l a t a y i m u 
divli 1.0	d i v l i 
divɔni 1.0	d i v ɔ n i 
divɔnigadi 1.0	d i v ɔ n i g a d i 
dizaxavu 1.0	d i z a x a v u 
die 1.0	d i e 
diɖo 1.0	d i ɖ o 
diɖɔ 1.0	d i ɖ ɔ 
dja 1.0	d j a 
dji 1.0	d j i 
djidjo 1.0	d j i d j o 
djin 1.0	d j i n 
djohon 1.0	d j o h o n 
dlagɔɔn 1.0	d l a g ɔ ɔ n 
dlusila 1.0	d l u s i l a 
dla 1.0	d l a 
dlɔn 1.0	d l ɔ n 
dlɔ 1.0	d l ɔ 
dlɔkutɔ 1.0	d l ɔ k u t ɔ 
dlɔndlɔn 1.0	d l ɔ n d l ɔ n 
dlεn 1.0	d l ε n 
dlεndlεn 1.0	d l ε n d l ε n 
do 1.0	d o 
dobanunutɔ 1.0	d o b a n u n u t ɔ 
dodawahu 1.0	d o d a w a h u 
dodayi 1.0	d o d a y i 
dodide 1.0	d o d i d e 
dodo 1.0	d o d o 
dodomε 1.0	d o d o m ε 
dogbo 1.0	d o g b o 
dohoun 1.0	d o h o u n 
dohɔnvi 1.0	d o h ɔ n v i 
dokpo 1.0	d o k p o 
dokun 1.0	d o k u n 
dokunjije 1.0	d o k u n j i j e 
dokɔ 1.0	d o k ɔ 
dola 1.0	d o l a 
domaɖoazan 1.0	d o m a ɖ o a z a n 
don 1.0	d o n 
donu 1.0	d o n u 
doo 1.0	d o o 
dopko 1.0	d o p k o 
dosi 1.0	d o s i 
dosu 1.0	d o s u 
doto 1.0	d o t o 
dotomi 1.0	d o t o m i 
dotoxwe 1.0	d o t o x w e 
dotani 1.0	d o t a n i 
dotin 1.0	d o t i n 
dotoo 1.0	d o t o o 
dotoogan 1.0	d o t o o g a n 
dotɔ 1.0	d o t ɔ 
dou 1.0	d o u 
doui 1.0	d o u i 
dowe 1.0	d o w e 
dowu 1.0	d o w u 
dowεgi 1.0	d o w ε g i 
doxwe 1.0	d o x w e 
dozεn 1.0	d o z ε n 
doɔ 1.0	d o ɔ 
drin 1.0	d r i n 
du 1.0	d u 
dudo 1.0	d u d o 
dudu 1.0	d u d u 
duma 1.0	d u m a 
dun 1.0	d u n 
duwe 1.0	d u w e 
duwε 1.0	d u w ε 
dwee 1.0	d w e e 
dyamaa 1.0	d y a m a a 
davɔ 1.0	d a v ɔ 
dekpe 1.0	d e k p e 
dele 1.0	d e l e 
detε 1.0	d e t ε 
degbedegbe 1.0	d e g b e d e g b e 
degon 1.0	d e g o n 
degɔ 1.0	d e g ɔ 
dehou 1.0	d e h o u 
demen 1.0	d e m e n 
demε 1.0	d e m ε 
devo 1.0	d e v o 
dewu 1.0	d e w u 
dindin 1.0	d i n d i n 
dingan 1.0	d i n g a n 
dovo 1.0	d o v o 
dokpɔn 1.0	d o k p ɔ n 
dowεn 1.0	d o w ε n 
doxo 1.0	d o x o 
dudɔ 1.0	d u d ɔ 
degba 1.0	d e g b a 
dehwin 1.0	d e h w i n 
dekan 1.0	d e k a n 
dekpa 1.0	d e k p a 
dema 1.0	d e m a 
detin 1.0	d e t i n 
dezan 1.0	d e z a n 
dide 1.0	d i d e 
dindan 1.0	d i n d a n 
dindinwayi 1.0	d i n d i n w a y i 
dindinwayigbɔ 1.0	d i n d i n w a y i g b ɔ 
dindinwayixwe 1.0	d i n d i n w a y i x w e 
dodɔn 1.0	d o d ɔ n 
doglin 1.0	d o g l i n 
doxwetekan 1.0	d o x w e t e k a n 
dozwe 1.0	d o z w e 
dudubeɖe 1.0	d u d u b e ɖ e 
dukwi 1.0	d u k w i 
dɔ 1.0	d ɔ 
dɔfuka 1.0	d ɔ f u k a 
dɔhun 1.0	d ɔ h u n 
dɔjɔ 1.0	d ɔ j ɔ 
dɔkun 1.0	d ɔ k u n 
dɔkunjikpɔntɔgan 1.0	d ɔ k u n j i k p ɔ n t ɔ g a n 
dɔkunjεagbazɔnmεbobε 1.0	d ɔ k u n j ε a g b a z ɔ n m ε b o b ε 
dɔkunnɔ 1.0	d ɔ k u n n ɔ 
dɔkunnɔgbε 1.0	d ɔ k u n n ɔ g b ε 
dɔkunxɔ 1.0	d ɔ k u n x ɔ 
dɔn 1.0	d ɔ n 
dɔnkan 1.0	d ɔ n k a n 
dɔnkanmε 1.0	d ɔ n k a n m ε 
dɔnkpεvuacosu 1.0	d ɔ n k p ε v u a c o s u 
dɔnu 1.0	d ɔ n u 
dɔɔ 1.0	d ɔ ɔ 
dɔɔnu 1.0	d ɔ ɔ n u 
dɔdɔ 1.0	d ɔ d ɔ 
dɔgan 1.0	d ɔ g a n 
dɔgbε 1.0	d ɔ g b ε 
dɔkasi 1.0	d ɔ k a s i 
dɔla 1.0	d ɔ l a 
dɔmanyi 1.0	d ɔ m a n y i 
dɔnkpε 1.0	d ɔ n k p ε 
dɔnkpεvu 1.0	d ɔ n k p ε v u 
dεbu 1.0	d ε b u 
dεdε 1.0	d ε d ε 
dεn 1.0	d ε n 
dε 1.0	d ε 
dεkpε 1.0	d ε k p ε 
dεkεε 1.0	d ε k ε ε 
dεnkpe 1.0	d ε n k p e 
dεvii 1.0	d ε v i i 
dεεbe 1.0	d ε ε b e 
dεεbenu 1.0	d ε ε b e n u 
dεkan 1.0	d ε k a n 
e 1.0	e 
eba 1.0	e b a 
ebalu 1.0	e b a l u 
eblo 1.0	e b l o 
eblee 1.0	e b l e e 
ebleegbe 1.0	e b l e e g b e 
eblɔn 1.0	e b l ɔ n 
ebulu 1.0	e b u l u 
ebεni 1.0	e b ε n i 
ebεε 1.0	e b ε ε 
ecee 1.0	e c e e 
eclee 1.0	e c l e e 
eclesu 1.0	e c l e s u 
ectesuno 1.0	e c t e s u n o 
ecεki 1.0	e c ε k i 
edlεyi 1.0	e d l ε y i 
edo 1.0	e d o 
edɔmu 1.0	e d ɔ m u 
edɔmunu 1.0	e d ɔ m u n u 
edεni 1.0	e d ε n i 
edεninu 1.0	e d ε n i n u 
edεε 1.0	e d ε ε 
eeo 1.0	e e o 
eflayimu 1.0	e f l a y i m u 
eflayimunu 1.0	e f l a y i m u n u 
eflali 1.0	e f l a l i 
eflata 1.0	e f l a t a 
eflati 1.0	e f l a t i 
eflatitɔ 1.0	e f l a t i t ɔ 
eflɔni 1.0	e f l ɔ n i 
efouda 1.0	e f o u d a 
efusiba 1.0	e f u s i b a 
efaa 1.0	e f a a 
efodi 1.0	e f o d i 
efodu 1.0	e f o d u 
efodukan 1.0	e f o d u k a n 
efεsidamumimu 1.0	e f ε s i d a m u m i m u 
efεzi 1.0	e f ε z i 
efεzinu 1.0	e f ε z i n u 
efεε 1.0	e f ε ε 
egba 1.0	e g b a 
egbe 1.0	e g b e 
egla 1.0	e g l a 
eglati 1.0	e g l a t i 
eglaticeliciya 1.0	e g l a t i c e l i c i y a 
eglayimu 1.0	e g l a y i m u 
eglɔni 1.0	e g l ɔ n i 
eh 1.0	e h 
eha 1.0	e h a 
ehi 1.0	e h i 
ehli 1.0	e h l i 
ehudi 1.0	e h u d i 
ein 1.0	e i n 
ejipu 1.0	e j i p u 
ejipunu 1.0	e j i p u n u 
eklɔni 1.0	e k l ɔ n i 
eklɔninu 1.0	e k l ɔ n i n u 
ekpin 1.0	e k p i n 
ekεε 1.0	e k ε ε 
ela 1.0	e l a 
elasiti 1.0	e l a s i t i 
eleada 1.0	e l e a d a 
eleadi 1.0	e l e a d i 
eleale 1.0	e l e a l e 
eleasa 1.0	e l e a s a 
eleazaa 1.0	e l e a z a a 
electee 1.0	e l e c t e e 
elewuzayi 1.0	e l e w u z a y i 
eli 1.0	e l i 
eliamu 1.0	e l i a m u 
eliata 1.0	e l i a t a 
eliavu 1.0	e l i a v u 
elica 1.0	e l i c a 
elicafati 1.0	e l i c a f a t i 
elicama 1.0	e l i c a m a 
elicuwa 1.0	e l i c u w a 
elidadi 1.0	e l i d a d i 
elienayi 1.0	e l i e n a y i 
eliezεε 1.0	e l i e z ε ε 
elifali 1.0	e l i f a l i 
eliflexu 1.0	e l i f l e x u 
elifazi 1.0	e l i f a z i 
elifεlεti 1.0	e l i f ε l ε t i 
elihoenayi 1.0	e l i h o e n a y i 
eliholεfu 1.0	e l i h o l ε f u 
elihu 1.0	e l i h u 
elika 1.0	e l i k a 
elimasi 1.0	e l i m a s i 
elimu 1.0	e l i m u 
elimεlεki 1.0	e l i m ε l ε k i 
elisafani 1.0	e l i s a f a n i 
elisuu 1.0	e l i s u u 
eliya 1.0	e l i y a 
eliyaba 1.0	e l i y a b a 
eliyacivu 1.0	e l i y a c i v u 
eliyada 1.0	e l i y a d a 
eliyakimu 1.0	e l i y a k i m u 
eliyasafu 1.0	e l i y a s a f u 
eliyoenayi 1.0	e l i y o e n a y i 
eliyεli 1.0	e l i y ε l i 
elizabεti 1.0	e l i z a b ε t i 
elizee 1.0	e l i z e e 
elo 1.0	e l o 
elamu 1.0	e l a m u 
elamunu 1.0	e l a m u n u 
elii 1.0	e l i i 
elodiɔn 1.0	e l o d i ɔ n 
elodu 1.0	e l o d u 
elulisun 1.0	e l u l i s u n 
elɔ 1.0	e l ɔ 
elɔni 1.0	e l ɔ n i 
elɔnibεtihanani 1.0	e l ɔ n i b ε t i h a n a n i 
elεfu 1.0	e l ε f u 
elεki 1.0	e l ε k i 
emanuwεli 1.0	e m a n u w ε l i 
eme 1.0	e m e 
emi 1.0	e m i 
emicee 1.0	e m i c e e 
emilεkan 1.0	e m i l ε k a n 
emitɔn 1.0	e m i t ɔ n 
emiti 1.0	e m i t i 
emεkikesisi 1.0	e m ε k i k e s i s i 
emεlodu 1.0	e m ε l o d u 
en 1.0	e n 
enc 1.0	e n c 
enco 1.0	e n c o 
ene 1.0	e n e 
enisi 1.0	e n i s i 
ens 1.0	e n s 
enyi 1.0	e n y i 
enyii 1.0	e n y i i 
enɔ 1.0	e n ɔ 
enɔci 1.0	e n ɔ c i 
enε 1.0	e n ε 
enεε 1.0	e n ε ε 
eo 1.0	e o 
epaflasi 1.0	e p a f l a s i 
epafloditi 1.0	e p a f l o d i t i 
epenεti 1.0	e p e n ε t i 
epikiliεn 1.0	e p i k i l i ε n 
epotlu 1.0	e p o t l u 
esawu 1.0	e s a w u 
esiɔnigevεε 1.0	e s i ɔ n i g e v ε ε 
esεki 1.0	e s ε k i 
esεmu 1.0	e s ε m u 
esεε 1.0	e s ε ε 
etanimu 1.0	e t a n i m u 
ete 1.0	e t e 
etini 1.0	e t i n i 
etiopii 1.0	e t i o p i i 
etiopiinu 1.0	e t i o p i i n u 
eton 1.0	e t o n 
etyεni 1.0	e t y ε n i 
etamu 1.0	e t a m u 
etani 1.0	e t a n i 
etiki 1.0	e t i k i 
etɔn 1.0	e t ɔ n 
etε 1.0	e t ε 
etεwutu 1.0	e t ε w u t u 
etεε 1.0	e t ε ε 
evalu 1.0	e v a l u 
evilumεlodaki 1.0	e v i l u m ε l o d a k i 
eviyasafu 1.0	e v i y a s a f u 
evo 1.0	e v o 
evodii 1.0	e v o d i i 
evεdi 1.0	e v ε d i 
evεniezεε 1.0	e v ε n i e z ε ε 
evεsi 1.0	e v ε s i 
ewi 1.0	e w i 
ewilu 1.0	e w i l u 
ewilumεlodaki 1.0	e w i l u m ε l o d a k i 
ewinu 1.0	e w i n u 
ewo 1.0	e w o 
eya 1.0	e y a 
eyanlan 1.0	e y a n l a n 
eye 1.0	e y e 
eyi 1.0	e y i 
eyifa 1.0	e y i f a 
eyilati 1.0	e y i l a t i 
eyilupalani 1.0	e y i l u p a l a n i 
eyinamu 1.0	e y i n a m u 
eyinamunu 1.0	e y i n a m u n u 
eyinayimu 1.0	e y i n a y i m u 
eyinu 1.0	e y i n u 
eyinucemεci 1.0	e y i n u c e m ε c i 
eyinudɔɔ 1.0	e y i n u d ɔ ɔ 
eyinugannimu 1.0	e y i n u g a n n i m u 
eyinugεdi 1.0	e y i n u g ε d i 
eyinuhada 1.0	e y i n u h a d a 
eyinuhalɔdi 1.0	e y i n u h a l ɔ d i 
eyinuhasɔɔ 1.0	e y i n u h a s ɔ ɔ 
eyinuhlimumɔni 1.0	e y i n u h l i m u m ɔ n i 
eyinuhlogεli 1.0	e y i n u h l o g ε l i 
eyinumicipati 1.0	e y i n u m i c i p a t i 
eyinutapuwaxinu 1.0	e y i n u t a p u w a x i n u 
eyinani 1.0	e y i n a n i 
eylan 1.0	e y l a n 
eyii 1.0	e y i i 
eyε 1.0	e y ε 
ezayii 1.0	e z a y i i 
ezekiyasi 1.0	e z e k i y a s i 
ezekiyεli 1.0	e z e k i y ε l i 
ezli 1.0	e z l i 
ezεli 1.0	e z ε l i 
ezεε 1.0	e z ε ε 
ee 1.0	e e 
eɔ 1.0	e ɔ 
eɖee 1.0	e ɖ e e 
fa 1.0	f a 
face 1.0	f a c e 
falizyεn 1.0	f a l i z y ε n 
fan 1.0	f a n 
fanfun 1.0	f a n f u n 
fanfunɖɔtɔ 1.0	f a n f u n ɖ ɔ t ɔ 
fata 1.0	f a t a 
faan 1.0	f a a n 
faɖaɖa 1.0	f a ɖ a ɖ a 
fe 1.0	f e 
felisi 1.0	f e l i s i 
feme 1.0	f e m e 
fen 1.0	f e n 
fenisii 1.0	f e n i s i i 
fenisi 1.0	f e n i s i 
fevi 1.0	f e v i 
fi 1.0	f i 
fifa 1.0	f i f a 
fifɔn 1.0	f i f ɔ n 
fijεlu 1.0	f i j ε l u 
filadεlufii 1.0	f i l a d ε l u f i i 
filemɔɔ 1.0	f i l e m ɔ ɔ 
filetɔsi 1.0	f i l e t ɔ s i 
filipu 1.0	f i l i p u 
filisitii 1.0	f i l i s i t i i 
filisitεεn 1.0	f i l i s i t ε ε n 
filolɔgu 1.0	f i l o l ɔ g u 
filipunu 1.0	f i l i p u n u 
fin 1.0	f i n 
fina 1.0	f i n a 
fine 1.0	f i n e 
finen 1.0	f i n e n 
finfan 1.0	f i n f a n 
finfin 1.0	f i n f i n 
finlin 1.0	f i n l i n 
finyɔ 1.0	f i n y ɔ 
finε 1.0	f i n ε 
fite 1.0	f i t e 
fitε 1.0	f i t ε 
fiɔ 1.0	f i ɔ 
fla 1.0	f l a 
flamasi 1.0	f l a m a s i 
flanseyovo 1.0	f l a n s e y o v o 
flayi 1.0	f l a y i 
fle 1.0	f l e 
flegɔɔn 1.0	f l e g ɔ ɔ n 
fletuntɔ 1.0	f l e t u n t ɔ 
fli 1.0	f l i 
flijii 1.0	f l i j i i 
flin 1.0	f l i n 
flinflin 1.0	f l i n f l i n 
flowa 1.0	f l o w a 
flan 1.0	f l a n 
flele 1.0	f l e l e 
fliflifli 1.0	f l i f l i f l i 
flo 1.0	f l o 
flu 1.0	f l u 
fluflu 1.0	f l u f l u 
flinnu 1.0	f l i n n u 
flɔ 1.0	f l ɔ 
flɔflɔ 1.0	f l ɔ f l ɔ 
flɔn 1.0	f l ɔ n 
flε 1.0	f l ε 
flεflε 1.0	f l ε f l ε 
flεtεli 1.0	f l ε t ε l i 
fo 1.0	f o 
fofi 1.0	f o f i 
fofo 1.0	f o f o 
folowa 1.0	f o l o w a 
folowakan 1.0	f o l o w a k a n 
fon 1.0	f o n 
fongbe 1.0	f o n g b e 
foo 1.0	f o o 
francegbe 1.0	f r a n c e g b e 
fufo 1.0	f u f o 
fukɔfukɔ 1.0	f u k ɔ f u k ɔ 
fun 1.0	f u n 
funfun 1.0	f u n f u n 
funfunfunfun 1.0	f u n f u n f u n f u n 
funfungwe 1.0	f u n f u n g w e 
futuu 1.0	f u t u u 
fuu 1.0	f u u 
fuɖa 1.0	f u ɖ a 
fuɖafuɖa 1.0	f u ɖ a f u ɖ a 
fwebee 1.0	f w e b e e 
fy 1.0	f y 
fya 1.0	f y a 
fyan 1.0	f y a n 
fyawun 1.0	f y a w u n 
fyo 1.0	f y o 
fyɔ 1.0	f y ɔ 
fyɔdi 1.0	f y ɔ d i 
fyɔfyɔ 1.0	f y ɔ f y ɔ 
fyɔn 1.0	f y ɔ n 
fyɔsi 1.0	f y ɔ s i 
fyɔi 1.0	f y ɔ i 
fyε 1.0	f y ε 
fankan 1.0	f a n k a n 
fanlan 1.0	f a n l a n 
fantin 1.0	f a n t i n 
fanxasun 1.0	f a n x a s u n 
favi 1.0	f a v i 
fedefede 1.0	f e d e f e d e 
fifanɔ 1.0	f i f a n ɔ 
fifawεndotɔ 1.0	f i f a w ε n d o t ɔ 
fifo 1.0	f i f o 
fifε 1.0	f i f ε 
figi 1.0	f i g i 
figigbigbε 1.0	f i g i g b i g b ε 
figigbo 1.0	f i g i g b o 
figigle 1.0	f i g i g l e 
figima 1.0	f i g i m a 
figitin 1.0	f i g i t i n 
figitinsa 1.0	f i g i t i n s a 
filin 1.0	f i l i n 
fimayafi 1.0	f i m a y a f i 
finfɔn 1.0	f i n f ɔ n 
finfεn 1.0	f i n f ε n 
fitii 1.0	f i t i i 
fiwε 1.0	f i w ε 
funkpatɔ 1.0	f u n k p a t ɔ 
funlεn 1.0	f u n l ε n 
funnɔ 1.0	f u n n ɔ 
fɔ 1.0	f ɔ 
fɔligbe 1.0	f ɔ l i g b e 
fɔn 1.0	f ɔ n 
fɔngbe 1.0	f ɔ n g b e 
fɔnlin 1.0	f ɔ n l i n 
fɔnlinnɔ 1.0	f ɔ n l i n n ɔ 
fɔnnu 1.0	f ɔ n n u 
fɔtunatusi 1.0	f ɔ t u n a t u s i 
fε 1.0	f ε 
fεca 1.0	f ε c a 
fεn 1.0	f ε n 
fεnu 1.0	f ε n u 
fεsinnɔ 1.0	f ε s i n n ɔ 
fεvu 1.0	f ε v u 
fεndɔ 1.0	f ε n d ɔ 
fεnnyε 1.0	f ε n n y ε 
fεsitusi 1.0	f ε s i t u s i 
fεwu 1.0	f ε w u 
fεɖεfεɖε 1.0	f ε ɖ ε f ε ɖ ε 
fεε 1.0	f ε ε 
fεεn 1.0	f ε ε n 
ga 1.0	g a 
gaaci 1.0	g a a c i 
gaadu 1.0	g a a d u 
gaali 1.0	g a a l i 
gaan 1.0	g a a n 
gabata 1.0	g a b a t a 
gabawɔɔn 1.0	g a b a w ɔ ɔ n 
gabawɔɔnnu 1.0	g a b a w ɔ ɔ n n u 
gabayi 1.0	g a b a y i 
gadagada 1.0	g a d a g a d a 
gadi 1.0	g a d i 
gadiyεli 1.0	g a d i y ε l i 
gadii 1.0	g a d i i 
gaga 1.0	g a g a 
gajaa 1.0	g a j a a 
gajawun 1.0	g a j a w u n 
galadi 1.0	g a l a d i 
galadinu 1.0	g a l a d i n u 
galali 1.0	g a l a l i 
galati 1.0	g a l a t i 
galatinu 1.0	g a l a t i n u 
galeεdi 1.0	g a l e ε d i 
gali 1.0	g a l i 
galilee 1.0	g a l i l e e 
galileenu 1.0	g a l i l e e n u 
galizimu 1.0	g a l i z i m u 
galiɔɔn 1.0	g a l i ɔ ɔ n 
galubanumu 1.0	g a l u b a n u m u 
galimunu 1.0	g a l i m u n u 
galεvu 1.0	g a l ε v u 
gamaliyεli 1.0	g a m a l i y ε l i 
gamulu 1.0	g a m u l u 
gamumadinu 1.0	g a m u m a d i n u 
gamεliyεli 1.0	g a m ε l i y ε l i 
gan 1.0	g a n 
ganagana 1.0	g a n a g a n a 
ganbaɖa 1.0	g a n b a ɖ a 
ganbloɖotɔ 1.0	g a n b l o ɖ o t ɔ 
gandji 1.0	g a n d j i 
gandotin 1.0	g a n d o t i n 
gandotɔnu 1.0	g a n d o t ɔ n u 
gangan 1.0	g a n g a n 
gangannagansu 1.0	g a n g a n n a g a n s u 
ganganwunxotɔ 1.0	g a n g a n w u n x o t ɔ 
gangbakun 1.0	g a n g b a k u n 
gangi 1.0	g a n g i 
ganhunu 1.0	g a n h u n u 
ganhɔn 1.0	g a n h ɔ n 
ganja 1.0	g a n j a 
ganjali 1.0	g a n j a l i 
ganji 1.0	g a n j i 
ganjininon 1.0	g a n j i n i n o n 
ganjininɔ 1.0	g a n j i n i n ɔ 
gankpa 1.0	g a n k p a 
gankpo 1.0	g a n k p o 
gankpacɔtɔ 1.0	g a n k p a c ɔ t ɔ 
gankuku 1.0	g a n k u k u 
gankwε 1.0	g a n k w ε 
gankεkεvi 1.0	g a n k ε k ε v i 
ganlin 1.0	g a n l i n 
ganmaganma 1.0	g a n m a g a n m a 
ganme 1.0	g a n m e 
ganmε 1.0	g a n m ε 
ganmεganmε 1.0	g a n m ε g a n m ε 
gannaganna 1.0	g a n n a g a n n a 
gannu 1.0	g a n n u 
gannugannu 1.0	g a n n u g a n n u 
gannyii 1.0	g a n n y i i 
gannufuyε 1.0	g a n n u f u y ε 
gannugbεjε 1.0	g a n n u g b ε j ε 
gannɔ 1.0	g a n n ɔ 
gansinnɔ 1.0	g a n s i n n ɔ 
ganswe 1.0	g a n s w e 
gansinsintɔ 1.0	g a n s i n s i n t ɔ 
gantin 1.0	g a n t i n 
gantɔ 1.0	g a n t ɔ 
gantɔn 1.0	g a n t ɔ n 
gantɔwu 1.0	g a n t ɔ w u 
ganvi 1.0	g a n v i 
ganvɔ 1.0	g a n v ɔ 
ganvɔbasya 1.0	g a n v ɔ b a s y a 
ganvɔdo 1.0	g a n v ɔ d o 
ganvɔganja 1.0	g a n v ɔ g a n j a 
ganvɔgbakun 1.0	g a n v ɔ g b a k u n 
ganvɔhɔn 1.0	g a n v ɔ h ɔ n 
ganvɔkpo 1.0	g a n v ɔ k p o 
ganvɔlɔgan 1.0	g a n v ɔ l ɔ g a n 
ganvɔnutuntɔ 1.0	g a n v ɔ n u t u n t ɔ 
ganvɔwlɔ 1.0	g a n v ɔ w l ɔ 
ganvɔwu 1.0	g a n v ɔ w u 
ganvɔzɔwatɔ 1.0	g a n v ɔ z ɔ w a t ɔ 
ganvɔzεn 1.0	g a n v ɔ z ε n 
ganwliwli 1.0	g a n w l i w l i 
ganwu 1.0	g a n w u 
ganwekpεn 1.0	g a n w e k p ε n 
ganwewe 1.0	g a n w e w e 
ganxixo 1.0	g a n x i x o 
ganxuxo 1.0	g a n x u x o 
ganxwε 1.0	g a n x w ε 
ganxo 1.0	g a n x o 
ganza 1.0	g a n z a 
ganzεn 1.0	g a n z ε n 
gati 1.0	g a t i 
gatihefεε 1.0	g a t i h e f ε ε 
gatihefεεnu 1.0	g a t i h e f ε ε n u 
gatihlimumɔni 1.0	g a t i h l i m u m ɔ n i 
gatinu 1.0	g a t i n u 
gaulle 1.0	g a u l l e 
gawun 1.0	g a w u n 
gaxaa 1.0	g a x a a 
gaxamu 1.0	g a x a m u 
gayetamu 1.0	g a y e t a m u 
gayiwusi 1.0	g a y i w u s i 
